StudentID,Name,Age,gender,Attendance,AssignmentScore,QuizScore,MidtermScore,FinalExamScore,Gender,Remarks
373,Donna Bell,16,F,61.469277497064546,86.35736364696295,49.35091834083772,61.09396600935759,79.89967097426643,,Discussion moment own although central weight.
312,Victoria Howard,17,F,81.210605305396,71.3488624309671,42.8110810964309,76.13891149409822,96.4763468945111,,Large success rather long affect own single.
51,Mr. Vincent Anderson MD,18,f,81.59442548451347,84.94969834607699,76.10845023452106,52.65196970881759,50.818476125366686,,Race yes while writer evening Republican senior.
26,Miranda Clark,17,Female,81.71397242453637,51.12753248059926,43.2786393722274,82.94177369103375,94.38525783486621,,Significant heavy modern fine.
268,David Taylor,15,Female,98.70797552828346,66.66516716507209,45.76565915879428,71.57626043645205,82.8646458175959,,Local important board above truth yeah.
178,Michael Long,15,m,64.91107558650835,62.76151539534543,89.36334537915403,86.46181685198752,71.92130073905511,,Very side commercial gas.
72,Kevin Barnes,19,Female,83.71851621035286,42.4710097167563,82.2345080237287,38.21729547708833,50.56572827983568,,Citizen nice law tough in seek according soldier.
435,Jennifer Riley,18,f,78.61880035079935,56.78221230828875,43.38822925402107,59.12550496107322,70.00480709629495,,East field realize quality week day organization.
307,Karen Mckenzie,15,Male,86.00669401772913,45.37758034929653,43.383349102535234,99.65216170139986,86.8597536168995,,Cut phone tell week.
277,Brandon Morton,19,M,63.46820847448734,90.83004168235445,49.300389716688656,74.13760404806067,70.09092768878403,,Wide network subject can voice animal let.
386,Shelby Cummings,15,F,95.89744592184815,56.26884619001109,65.49357727058087,72.91232365784795,72.81255795256268,,Own participant radio study television scientist.
451,Thomas Huffman,17,Female,60.362896186109,52.71894945413431,99.42198320174872,40.54718687148112,87.19134294345082,,Information most current know.
1,Amanda Smith,18,f,61.92378575856351,91.44160552554992,78.41326388985235,71.86610069476006,49.13966713976073,,Pretty southern town which.
411,Judy Khan,16,f,95.7791972387227,62.9515768146405,87.60709123550402,91.90822972592005,63.8468894139455,,You glass professor husband attorney left.
294,Michelle Wallace,18,Male,78.92840472325334,97.27960180199844,46.57490165179698,95.4017308704699,76.3302859969526,,Argue wide single show.
2,Michele Harris,19,Female,91.2605792700566,-16.38395870497662,73.26361720010303,53.448849056528815,93.9673127527661,,
432,Jennifer Prince,15,f,67.56886159140024,54.343319931835936,59.408310949340745,70.88450870246956,48.66325792802003,,Include often during cost participant strong.
327,Christine Fowler,17,m,67.4189163830689,40.15504089069894,89.28431096619919,70.69347185801622,71.0073963476895,,Place bit room collection expect might toward.
61,Lisa Jackson,16,m,98.36299178256111,44.34497632878049,57.044423689382086,50.5256829261253,63.51149778454473,male,Woman peace most report.
133,Rachael Vasquez,18,Male,75.10903789760677,87.57736567633789,45.47443600176099,69.4494489902172,85.10633038234559,,Drop administration question nature detail.
216,Elizabeth Blair,17,f,79.92363014044022,49.74291367973925,40.42998153044704,66.06209912144575,68.91204875647699,,Tough and note now.
82,Jared Boyd,15,F,64.16987864207238,96.84102775786232,95.9620772771235,88.08434140429668,98.02316088556209,,Write truth page drug book tree.
4,Melanie Avila,200,f,90.02007699061254,66.53792574285461,46.02262233926295,39.825656744245116,96.24270628985924,,Spring send cost form above economy talk.
32,Eric James MD,18,m,95.14516461493753,73.50476035499187,34.52316758908603,36.63422728802273,83.49887019544315,,Institution thank blood main spend.
342,Jennifer Perez,18,Male,89.29087228738581,80.28548017183687,64.80791512202816,48.722310625798855,78.49791452964126,,Summer space catch better position nice provide.
126,Matthew Carlson,18,M,72.39747705074444,72.5980314017973,99.4690780342629,67.63998464752915,64.93623375444012,,Campaign my measure who.
248,Joseph Lewis,15,m,65.40005109684827,46.546577905944986,71.05353645320949,73.54594252343884,70.40035893896474,,Talk provide leave brother benefit interview around.
300,David Brock,15,Male,76.87050638922051,49.97989646458853,87.95078627255211,88.28685732400729,44.326665575766114,,Next candidate week strong usually year skin.
179,Mitchell Bailey,19,m,95.05776303501176,76.33228945869297,88.79747861975278,73.73927474192632,75.4258653893616,,Stop apply trial audience born according security.
66,Jason Stone,18,M,84.59801052610618,61.46808105569628,91.77216083192698,65.53334459439445,64.40044419991499,,Movement institution their long.
299,Rebecca Beck,18,Male,64.61128084989137,51.67349939111806,57.54134925945141,76.89056801286719,80.65245673021204,,
450,Lawrence Lloyd,16,M,75.06781447947195,48.47668295653035,75.86976867841608,72.64639159935695,70.98546329311667,,True water strategy beat yet offer expert religious.
247,Stephanie Yoder,18,m,98.16347746158533,57.32113573183828,71.00671021803313,43.60420463727321,68.95002521412164,,Play response quality agree cold give.
232,Robert Day,15,f,90.83645508257082,87.7306223017842,50.96104573443206,99.98139727013441,47.50751542850482,,Set eye appear effect western.
3,Sarah Ritter,17,M,93.11763548709968,85.60564470628583,74.32327382094249,88.59476252565709,82.60812590788396,,Nature beautiful perhaps work wind likely attack.
471,Vincent Smith,16,Female,94.0965863679459,47.30571466751649,57.283157119854444,37.70769319487436,62.411210613981254,,Head war which join themselves.
256,Earl Simpson,17,f,66.18688563532945,92.13403753243426,62.32129695286675,79.24913304243157,90.59668545618413,,Left send too hard nation.
198,Steven Jones,15,M,99.41469248966939,75.08024202655533,32.03499662407676,55.358406969561315,55.16881636535203,,
391,Bridget Hartman,15,Female,95.7968576491136,51.41949176914407,87.42642552142813,95.50767918395255,89.10217398888024,,Certainly instead building recently personal crime magazine.
45,Monica Edwards,16,M,64.1166412297658,83.3132576756161,72.98569178293153,78.9677135519955,96.94427177889064,,
499,Shelby Lowe,15,M,89.25080267894742,55.923244551291674,48.432104862724,53.92437610603663,60.713797220198344,,Join down away one executive theory nothing result.
288,Sue Ballard,19,f,62.0638322663484,82.92945442595646,73.3789608139591,51.643091731822025,103.31263838317157,,
224,Samantha Munoz,18,f,70.65993573483529,98.71787724403183,38.566373012762455,46.51611014267126,50.32535375771556,,Condition structure foreign shake suggest information.
185,Julie Trujillo,16,Male,93.0042932569064,91.85297066045013,82.93852605240168,71.37974891446609,40.605436401341485,,Movie relate close whom court.
324,Debbie Duran,15,M,78.47771402302351,62.41058098230326,68.41870597040412,79.68141366885544,71.18225577366906,,Large prove people culture foot garden close.
270,Emily Weber,18,F,64.12374984054979,75.22370246206906,57.91852207926106,74.37409470403868,53.603642939797794,,
97,Michael Gonzalez,19,Male,91.51159554857969,79.01765115240724,30.729938957818213,78.61129530826301,73.11941812724326,,Decade teacher high speech a figure.
459,Allison Collins,16,f,67.17989293695334,95.96384442857529,83.42087038812225,50.72277743101949,95.4736633226083,,Economic herself collection toward want dream.
444,,17,f,70.34753322791632,63.83072664575266,81.75063146153411,43.17207748449471,56.862284882861694,,Change might west break let tax in.
68,Haley Swanson,16,Female,65.56464776572247,98.64798317888715,99.17926897000919,65.82874732803194,71.3523830039232,,
452,Luke Berry,18,M,92.74717681999367,89.1241002444562,35.08696101270114,37.79545187135107,96.551878451207,,Experience store think southern specific yard president community.
195,Benjamin Wang,18,F,91.19035099152123,50.80062624836341,76.41294031503446,95.16642645164683,76.57786069941412,,Light exactly smile lose again according boy service.
70,Tina Patel,18,M,70.24062127414649,81.59163644936086,33.34815742758738,69.90548674283829,67.53780876263792,,Never cold body step remain.
488,Sherry Scott,17,Female,94.16839097846264,73.86646544073295,88.76226366505368,49.51212005783776,64.66561653282639,,Customer reason live approach wait edge.
